"Provider Number","Facility Name",County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Percent of Adult HD patients with Kt/V >= 1.2","Number of adult HD patients with KT/V data","Number of patients included in the transfusion summary","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Number of patients included in hospitalization summary","No. of hospitalization with hospital readmission summary","Number of Patients included in survival summary","Number of Patients included in fistula summary","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Number of patients in nPCR summary","Number of patient-months in nPCR summary","PPPW category text","Patient Transfusion category text","Fistula Category Text","Patient Infection category text","Patient Hospital Readmission Category","Patient Survival Category Text","Patient hospitalization category text"
12536,"FMC MONTCLAIR",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",24,98,61,50,65,608,69,634,52,74,217,69,69,642,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12537,"FMC PRICHARD",MOBILE,Profit,"FRESENIUS MEDICAL CARE",25,98,100,66,108,986,110,1031,75,79,327,112,112,1043,1,1,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12538,"RCG ANDALUSIA",COVINGTON,Profit,"FRESENIUS MEDICAL CARE",21,98,63,57,73,618,79,656,69,113,246,70,70,536,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12540,"FMC MONROEVILLE (WHETSTONE)",MONROE,Profit,"FRESENIUS MEDICAL CARE",20,94,66,60,76,721,81,759,64,55,230,76,76,703,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12541,"FMC DADEVILLE",TALLAPOOSA,Profit,"FRESENIUS MEDICAL CARE",15,96,52,40,52,556,53,565,43,26,195,53,53,571,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
12542,"DAVITA RAINBOW CITY DIALYSIS",ETOWAH,Profit,DAVITA,16,99,51,44,72,598,77,637,53,60,241,55,55,482,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12543,"DAVITA DEMOPOLIS DIALYSIS",MARENGO,Profit,DAVITA,15,100,63,52,67,630,73,656,57,53,262,68,68,614,0,0,"As Expected","As Expected","Worse than Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
12544,"DAVITA OZARK DIALYSIS",DALE,Profit,DAVITA,19,97,57,43,57,448,61,466,49,36,214,63,63,472,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12545,"DAVITA TUSCALOOSA DIALYSIS",TUSCALOOSA,Profit,DAVITA,19,97,93,78,95,934,98,948,83,109,362,101,101,949,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12546,"FMC TUSKEGEE",MACON,Profit,"FRESENIUS MEDICAL CARE",28,95,65,38,67,645,70,645,45,22,232,69,69,643,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12547,"FMC EASTERN SHORE",BALDWIN,Profit,"FRESENIUS MEDICAL CARE",24,99,89,51,91,790,96,830,61,78,273,95,95,828,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12548,"DAVITA FAYETTE DIALYSIS",FAYETTE,Profit,DAVITA,10,99,33,30,36,343,38,346,36,38,151,38,38,351,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12550,"DAVITA GREENE COUNTY DIALYSIS",GREENE,Profit,DAVITA,12,99,47,38,48,483,49,486,41,53,200,49,49,485,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12551,"DAVITA SHEFFIELD DIALYSIS",COLBERT,Profit,DAVITA,12,94,57,50,59,549,64,565,52,69,228,65,65,580,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12552,"BIO-MEDICAL APPLICATIONS OF ALABAMA INC",MOBILE,Profit,"FRESENIUS MEDICAL CARE",25,99,109,79,117,1146,122,1149,91,114,317,124,124,1172,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12553,"DAVITA PDI-ELMORE COUNTY",ELMORE,Profit,DAVITA,10,99,47,32,48,425,52,459,38,34,133,52,52,460,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12556,"NNA OF ALABAMA, INC","SAINT CLAIR",Profit,"FRESENIUS MEDICAL CARE",13,96,49,33,49,413,55,436,38,32,157,55,55,439,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12558,"DCI DECATUR",MORGAN,Non-Profit,"DIALYSIS CLINIC, INC.",24,97,65,47,70,694,71,695,60,68,471,70,70,685,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12559,"FMC UNIVERSITY SOUTH ALABAMA",MOBILE,Profit,"FRESENIUS MEDICAL CARE",22,95,79,63,105,957,112,976,75,89,313,92,92,830,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12561,"FKC ARAB",MARSHALL,Profit,"FRESENIUS MEDICAL CARE",24,100,57,39,59,501,70,547,42,35,225,70,70,548,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
12562,"DCI PELL CITY","SAINT CLAIR",Non-Profit,"DIALYSIS CLINIC, INC.",15,98,31,21,31,305,34,327,22,15,105,35,35,328,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12563,"DCI CULLMAN",CULLMAN,Non-Profit,"DIALYSIS CLINIC, INC.",16,99,68,65,72,547,85,603,76,83,317,83,83,601,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12565,"DAVITA SOUTH BALDWIN DIALYSIS CENTER",BALDWIN,Profit,DAVITA,13,100,27,21,28,264,30,268,23,45,84,31,31,285,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12566,"FMC SYLACAUGA",TALLADEGA,Profit,"FRESENIUS MEDICAL CARE",12,97,41,32,42,394,47,417,40,38,166,45,45,411,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12568,"FMC PARKWAY",MADISON,Profit,"FRESENIUS MEDICAL CARE",15,98,54,41,56,530,57,538,48,56,215,57,57,547,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12570,"DAVITA NORTHORT DIALYSIS",TUSCALOOSA,Profit,DAVITA,14,99,84,64,87,747,89,755,72,91,295,93,93,792,0,0,"As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected"
12571,"DCI GEORGIANA",BUTLER,Non-Profit,"DIALYSIS CLINIC, INC.",10,96,27,22,27,281,27,281,27,45,118,27,27,274,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12572,"FMC CAMELLIA",BUTLER,Profit,"FRESENIUS MEDICAL CARE",21,96,75,58,77,697,81,689,68,69,283,85,85,711,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
12573,"DCI BIRMINGHAM",JEFFERSON,Non-Profit,"DIALYSIS CLINIC, INC.",16,99,40,33,44,411,47,439,35,29,164,47,47,441,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12574,"FMC CHAMBERS",CHAMBERS,Profit,"FRESENIUS MEDICAL CARE",10,99,38,27,38,368,42,389,32,25,129,42,42,392,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","Better than Expected","As Expected"
12575,"RCG WALKER",WALKER,Profit,"FRESENIUS MEDICAL CARE",22,98,56,41,58,515,65,535,46,58,216,65,65,540,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12576,"DCI MONTGOMERY",MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",24,97,67,51,80,735,82,736,61,60,307,74,74,670,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12578,"RCG SOUTHSIDE",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",16,93,58,48,59,542,59,524,53,58,202,62,62,552,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12579,"FMC DAUPHIN ISLAND PKWY",MOBILE,Profit,"FRESENIUS MEDICAL CARE",20,97,83,59,91,854,93,878,67,84,282,93,93,886,0,0,"As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected","As Expected"
12580,"FMC THOMASVILLE",CLARKE,Profit,"FRESENIUS MEDICAL CARE",20,96,51,43,53,479,56,477,47,37,191,55,55,484,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12582,"FMC WILCOX",WILCOX,Profit,"FRESENIUS MEDICAL CARE",10,98,51,37,54,477,54,476,43,35,162,54,54,492,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12583,"DAVITA BESSEMER DIALYSIS",JEFFERSON,Profit,DAVITA,16,99,56,35,57,489,60,498,40,25,178,63,63,507,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12585,"DAVITA ENSLEY DIALYSIS",JEFFERSON,Profit,DAVITA,24,100,95,72,100,922,107,965,81,59,323,107,107,968,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12588,"DAVITA SYLACAUGA DIALYSIS",TALLADEGA,Profit,DAVITA,18,100,42,38,51,472,53,492,41,51,207,45,45,403,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12589,"DAVITA BIRMINGHAM NORTH DIALYSIS",JEFFERSON,Profit,DAVITA,24,99,87,61,96,940,96,977,65,58,290,97,97,982,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12590,"DCI MOULTON",LAWRENCE,Non-Profit,"DIALYSIS CLINIC, INC.",12,95,33,28,34,316,38,346,32,31,148,35,35,330,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12591,"NNA OF ALABAMA, INC",SHELBY,Profit,"FRESENIUS MEDICAL CARE",24,94,62,48,65,572,66,570,55,61,212,66,66,588,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12592,"DAVITA BIRMINGHAM CENTRAL DIALYSIS",JEFFERSON,Profit,DAVITA,32,99,85,58,85,791,87,815,62,59,259,87,87,813,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12593,"FMC ODYSSEY DIALYSIS",MADISON,Profit,"FRESENIUS MEDICAL CARE",15,97,60,51,62,529,67,537,56,48,213,67,67,546,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
12594,"DAVITA BOAZ DIALYSIS",MARSHALL,Profit,DAVITA,12,100,59,51,59,522,61,540,56,85,203,61,61,541,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12595,"RCG FORT PAYNE",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",24,98,59,52,67,598,74,653,60,59,235,68,68,564,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
12596,"FKC MONTGOMERY",MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",33,95,129,99,133,1313,142,1357,110,142,443,141,141,1347,0,0,"As Expected","As Expected","As Expected","Better than Expected","Better than Expected","As Expected","As Expected"
12597,"FMC BAY MINETTE",BALDWIN,Profit,"FRESENIUS MEDICAL CARE",18,99,50,39,54,494,56,510,44,42,189,57,57,514,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12598,"DCI PHENIX CITY",RUSSELL,Profit,"DIALYSIS CLINIC, INC.",12,99,50,36,50,522,52,532,44,45,186,54,54,530,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12599,"FMC PORT CITY",MOBILE,Profit,"FRESENIUS MEDICAL CARE",20,93,89,57,90,779,100,814,68,112,297,101,101,827,0,0,"As Expected","As Expected","As Expected","Better than Expected","Worse than Expected","Worse than Expected","As Expected"
12600,"DAVITA ATMORE DIALYSIS CENTER",ESCAMBIA,Profit,DAVITA,10,99,47,34,48,444,52,474,40,37,171,53,53,469,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12601,"FMC WEST",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",24,95,87,61,93,898,97,908,66,89,285,97,97,919,0,0,"As Expected","As Expected","Worse than Expected","Better than Expected","As Expected","As Expected","As Expected"
12602,"DAVITA RUSSELLVILLE DIALYSIS",FRANKLIN,Profit,DAVITA,10,98,53,45,53,455,57,501,48,45,159,58,58,505,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12603,"FMC FAIRFIELD (STEEL CITY)",JEFFERSON,Profit,"RENAL CARE GROUP INC.",12,96,51,36,55,521,54,522,42,43,160,57,57,533,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12604,"RCG CLANTON",CHILTON,Profit,"FRESENIUS MEDICAL CARE",12,97,56,40,60,552,62,571,45,65,185,62,62,565,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12606,"FMC CHASE",MADISON,Profit,"FRESENIUS MEDICAL CARE",25,95,107,79,112,1077,116,1090,101,128,419,118,118,1081,0,0,"As Expected","Worse than Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
12607,"ROANOKE DIALYSIS CLINIC",RANDOLPH,Profit,"FRESENIUS MEDICAL CARE",13,99,46,39,48,435,51,449,39,28,161,51,51,451,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12608,"RCG ONEONTA",BLOUNT,Profit,"FRESENIUS MEDICAL CARE",12,99,40,29,46,411,53,444,33,40,136,52,52,446,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12609,"DAVITA EUFAULA DIALYSIS",BARBOUR,Profit,DAVITA,12,99,43,34,46,419,47,436,41,27,197,48,48,440,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12610,"FMC MAGNOLIA",MOBILE,Profit,"FRESENIUS MEDICAL CARE",20,99,79,56,84,773,92,806,66,86,292,92,92,805,1,9,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12611,"FMC DALLAS COUNTY",DALLAS,Profit,"FRESENIUS MEDICAL CARE",21,96,67,57,71,761,74,760,66,95,250,75,75,763,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12612,"FMC GARDENDALE",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",23,93,78,53,81,678,89,704,62,67,237,89,89,718,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12613,"FMC DISCOVERY",MADISON,Profit,"FRESENIUS MEDICAL CARE",20,97,64,50,66,581,66,574,60,57,281,68,68,597,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12614,"FMC VALLEY CREEK",DALLAS,Profit,"FRESENIUS MEDICAL CARE",22,98,86,71,92,911,95,916,78,99,274,92,92,886,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12615,"FMC AUBURN",LEE,Profit,"FRESENIUS MEDICAL CARE",20,97,98,75,104,991,109,1040,81,63,304,109,109,1036,0,0,"As Expected","Worse than Expected","Better than Expected","As Expected","Better than Expected","Better than Expected","As Expected"
12616,"LANDMARK DIALYSIS",TALLADEGA,Non-Profit,"FRESENIUS MEDICAL CARE",30,98,67,48,72,565,80,628,55,62,230,79,79,613,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12617,"FMC ALEXANDER CITY",TALLAPOOSA,Profit,"FRESENIUS MEDICAL CARE",23,97,93,78,103,944,105,995,93,63,331,96,96,893,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12618,"RRC NORTHRIDGE",TUSCALOOSA,Profit,INDEPENDENT,24,95,72,103,134,1227,141,1254,113,124,435,81,81,776,0,0,"As Expected","As Expected","Worse than Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
12619,"GBR LLC",TUSCALOOSA,Profit,INDEPENDENT,0,0,0,45,60,572,64,594,45,37,212,0,0,0,0,0,"As Expected","As Expected","Not Available","Not Available","As Expected","As Expected","As Expected"
12620,"HOME DIALYSIS OF NORTH ALABAMA",MORGAN,Profit,INDEPENDENT,1,0,0,34,45,326,47,347,38,29,156,0,0,0,0,0,"As Expected","Worse than Expected","Not Available","Not Available","Worse than Expected","As Expected","As Expected"
12621,"RAI-SNOW ST-OXFORD",CALHOUN,Profit,"FRESENIUS MEDICAL CARE",25,98,68,51,70,607,70,606,66,86,361,73,73,637,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12622,"DAVITA TALLADEGA DIALYSIS",TALLADEGA,Profit,DAVITA,13,99,42,39,47,442,49,454,42,38,158,44,44,399,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12623,"DAVITA CENTER POINT DIALYSIS",JEFFERSON,Profit,DAVITA,16,97,58,43,60,530,65,547,45,59,189,65,65,556,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
12624,"FMC MIDFIELD DIALYSIS",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",24,97,94,70,99,995,100,1005,79,113,308,100,100,1020,0,0,"As Expected","Worse than Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
12625,"RAI JACKSONVILLE",CALHOUN,Profit,"FRESENIUS MEDICAL CARE",16,99,67,57,67,600,71,608,66,54,258,71,71,623,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12626,"FMC NORTHWEST ALABAMA KIDNEY CENTER",MARION,Profit,"FRESENIUS MEDICAL CARE",10,96,31,27,32,279,35,290,29,35,111,35,35,293,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12627,"DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD",BALDWIN,Profit,DAVITA,4,0,1,7,9,74,9,74,8,6,39,3,3,26,0,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","As Expected"
12628,"DAVITA OPELIKA DIALYSIS CENTER",LEE,Profit,DAVITA,10,99,23,23,30,274,29,266,23,22,111,24,24,216,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12629,"DAVITA RENAISSANCE DIALYSIS",LAUDERDALE,Profit,DAVITA,10,99,48,43,52,469,58,496,46,58,137,57,57,481,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12630,"DAVITA WIREGRASS KIDNEY CENTER",HOUSTON,Profit,DAVITA,20,98,76,55,76,667,80,675,62,87,268,80,80,706,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12631,"DAVITA GULF SHORES DIALYSIS CENTER",BALDWIN,Profit,DAVITA,8,97,19,22,32,260,30,257,24,22,107,21,21,161,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
12632,"DAVITA MUSCLE SHOALS DIALYSIS",COLBERT,Profit,DAVITA,10,99,22,17,23,172,24,200,19,24,63,24,24,202,0,0,"As Expected","Not Available","As Expected","As Expected","As Expected","As Expected","As Expected"
12633,"FMC PRATTVILLE",AUTAUGA,Profit,"FRESENIUS MEDICAL CARE",18,98,77,50,83,734,95,788,65,65,242,95,95,795,0,0,"As Expected","Worse than Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
