Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
FMC MONTCLAIR,12536,BIRMINGHAM,75,0.00%,FRESENIUS MEDICAL CARE
FMC PRICHARD,12537,WHISTLER,61,0.00%,FRESENIUS MEDICAL CARE
RCG ANDALUSIA,12538,ANDALUSIA,53,0.50%,FRESENIUS MEDICAL CARE
FMC MONROEVILLE (WHETSTONE),12540,MONROEVILLE,67,0.00%,FRESENIUS MEDICAL CARE
FMC DADEVILLE,12541,DADEVILLE,84,0.00%,FRESENIUS MEDICAL CARE
RAINBOW CITY DIALYSIS,12542,RAINBOW CITY,69,0.00%,GAMBRO HEALTHCARE
DEMOPOLIS DIALYSIS,12543,DEMOPOLIS,67,0.00%,DAVITA
OZARK DIALYSIS,12544,OZARK,70,0.00%,DAVITA
TUSCALOOSA DIALYSIS,12545,TUSCALOOSA,37,1.50%,DAVITA
FMC TUSKEGEE,12546,TUSKEGEE,73,0.00%,FRESENIUS MEDICAL CARE
FMC EASTERN SHORE,12547,FAIRHOPE,72,0.00%,FRESENIUS MEDICAL CARE
FAYETTE DIALYSIS,12548,FAYETTE,66,0.00%,DAVITA
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,12549,BREWTON,50,0.50%,FRESENIUS MEDICAL CARE
GREENE COUNTY DIALYSIS,12550,EUTAW,58,0.50%,DAVITA
SHEFFIELD DIALYSIS,12551,SHEFFIELD,67,0.00%,DAVITA
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,12552,MOBILE,61,0.00%,FRESENIUS MEDICAL CARE
PCD ELMORE COUNTY,12553,WETUMPKA,57,0.50%,DAVITA
"NNA OF ALABAMA, INC",12556,PELL CITY,78,0.00%,FRESENIUS MEDICAL CARE
DCI DECATUR,12558,DECATUR,72,0.00%,"DIALYSIS CLINIC, INC."
FMC UNIVERSITY SOUTH ALABAMA,12559,MOBILE,51,0.50%,FRESENIUS MEDICAL CARE
FMC LAKEVIEW,12561,GUNTERSVILLE,61,0.00%,FRESENIUS MEDICAL CARE
DCI PELL CITY,12562,PELL CITY,89,0.00%,"DIALYSIS CLINIC, INC."
DCI CULLMAN,12563,CULLMAN,82,0.00%,"DIALYSIS CLINIC, INC."
SOUTH BALDWIN DIALYSIS CENTER,12565,FOLEY,72,0.00%,DAVITA
FMC SYLACAUGA,12566,SYLACAUGA,67,0.00%,FRESENIUS MEDICAL CARE
FMC PARKWAY,12568,HUNTSVILLE,72,0.00%,FRESENIUS MEDICAL CARE
NORTHPORT DIALYSIS,12570,NORTHPORT,50,0.50%,DAVITA
DCI GEORGIANA,12571,GEORGIANA,78,0.00%,"DIALYSIS CLINIC, INC."
FMC CAMELLIA,12572,GREENVILLE,44,1.00%,FRESENIUS MEDICAL CARE
DCI BIRMINGHAM,12573,BIRMINGHAM,72,0.00%,"DIALYSIS CLINIC, INC."
FMC CHAMBERS,12574,LAFAYETTE,83,0.00%,FRESENIUS MEDICAL CARE
RCG WALKER,12575,JASPER,44,1.00%,FRESENIUS MEDICAL CARE
DCI MONTGOMERY,12576,MONTGOMERY,48,1.00%,"DIALYSIS CLINIC, INC."
RCG SOUTHSIDE,12578,BIRMINGHAM,36,1.50%,FRESENIUS MEDICAL CARE
FMC DAUPHIN ISLAND PKWY,12579,MOBILE,52,0.50%,FRESENIUS MEDICAL CARE
FMC THOMASVILLE,12580,THOMASVILLE,46,1.00%,FRESENIUS MEDICAL CARE
FMC WILCOX,12582,CAMDEN,88,0.00%,FRESENIUS MEDICAL CARE
BESSEMER DIALYSIS,12583,BESSEMER,54,0.50%,DAVITA
ENSLEY DIALYSIS,12585,BIRMINGHAM,52,0.50%,DAVITA
SYLACAUGA DIALYSIS,12588,SYLACAUGA,42,1.00%,DAVITA
BIRMINGHAM NORTH DIALYSIS,12589,BIRMINGHAM,52,0.50%,DAVITA
DCI MOULTON,12590,MOULTON,56,0.50%,"DIALYSIS CLINIC, INC."
FMC SHELBY,12591,ALABASTER,61,0.00%,FRESENIUS MEDICAL CARE
BIRMINGHAM CENTRAL DIALYSIS,12592,BIRMINGHAM,45,1.00%,DAVITA
FMC ODYSSEY DIALYSIS,12593,MADISON,60,0.00%,FRESENIUS MEDICAL CARE
BOAZ DIALYSIS,12594,BOAZ,73,0.00%,DAVITA
RCG FORT PAYNE,12595,FORT PAYNE,90,0.00%,FRESENIUS MEDICAL CARE
FKC MONTGOMERY,12596,MONTGOMERY,39,1.00%,FRESENIUS MEDICAL CARE
FMC BAY MINETTE,12597,BAY MINETTE,57,0.50%,FRESENIUS MEDICAL CARE
DCI PHENIX CITY,12598,PHENIX CITY,83,0.00%,"DIALYSIS CLINIC, INC."
FMC PORT CITY,12599,MOBILE,48,1.00%,FRESENIUS MEDICAL CARE
ATMORE DIALYSIS CENTER,12600,ATMORE,48,1.00%,DAVITA
FMC WEST,12601,BIRMINGHAM,53,0.50%,FRESENIUS MEDICAL CARE
RUSSELLVILLE DIALYSIS,12602,RUSSELLVILLE,64,0.00%,GAMBRO HEALTHCARE
FMC FAIRFIELD (STEEL CITY),12603,FAIRFIELD,65,0.00%,RENAL CARE GROUP INC.
RCG CLANTON,12604,CLANTON,76,0.00%,FRESENIUS MEDICAL CARE
FMC CHASE,12606,HUNTSVILLE,46,1.00%,FRESENIUS MEDICAL CARE
ROANOKE DIALYSIS CLINIC,12607,ROANOKE,92,0.00%,FRESENIUS MEDICAL CARE
RCG ONEONTA,12608,ONEONTA,89,0.00%,FRESENIUS MEDICAL CARE
EUFAULA DIALYSIS,12609,EUFAULA,87,0.00%,DAVITA
FMC MAGNOLIA,12610,SEMMES,57,0.50%,FRESENIUS MEDICAL CARE
FMC DALLAS COUNTY,12611,SELMA,73,0.00%,FRESENIUS MEDICAL CARE
FMC GARDENDALE,12612,GARDENDALE,63,0.00%,FRESENIUS MEDICAL CARE
FMC DISCOVERY,12613,HUNTSVILLE,72,0.00%,FRESENIUS MEDICAL CARE
FMC VALLEY CREEK,12614,SELMA,55,0.50%,FRESENIUS MEDICAL CARE
FMC AUBURN,12615,AUBURN,70,0.00%,FRESENIUS MEDICAL CARE
LANDMARK DIALYSIS,12616,TALLADEGA,51,0.50%,FRESENIUS MEDICAL CARE
FMC ALEXANDER CITY,12617,ALEXANDER CITY,84,0.00%,FRESENIUS MEDICAL CARE
RRC NORTHRIDGE,12618,NORTHPORT,33,1.50%,NOT A CHAIN
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,12619,TUSCALOOSA,78,0.00%,NOT A CHAIN
HOME DIALYSIS OF NORTH ALABAMA,12620,DECATUR,43,1.00%,NOT A CHAIN
RAI-SNOW ST-OXFORD,12621,OXFORD,39,1.00%,FRESENIUS MEDICAL CARE
DAVITA TALLADEGA,12622,TALLADEGA,76,0.00%,DAVITA
DAVITA CENTER POINT DIALYSIS,12623,CENTER POINT,66,0.00%,DAVITA
FMC MIDFIELD DIALYSIS,12624,BIRMINGHAM,75,0.00%,FRESENIUS MEDICAL CARE
RAI JACKSONVILLE,12625,JACKSONVILLE,59,0.00%,FRESENIUS MEDICAL CARE
FMC NORTHWEST ALABAMA KIDNEY CENTER,12626,WINFIELD,71,0.00%,FRESENIUS MEDICAL CARE
HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,12627,DAPHNE,61,0.00%,DAVITA
OPELIKA DIALYSIS CENTER,12628,OPELIKA,65,0.00%,DAVITA
DAVITA RENAISSANCE,12629,FLORENCE,72,0.00%,DAVITA
DAVITA WIREGRASS KIDNEY CENTER,12630,DOTHAN,62,0.00%,DAVITA
GULF SHORES DIALYSIS CENTER,12631,GULF SHORES,94,0.00%,DAVITA
MUSCLE SHOALS DIALYSIS,12632,MUSCLE SHOALS,63,0.00%,DAVITA
FMC PRATTVILLE,12633,PRATTVILLE,47,1.00%,FRESENIUS MEDICAL CARE
FMC FOLEY,12634,FOLEY,67,0.00%,FRESENIUS MEDICAL CARE
FMC JAGUAR,12636,MOBILE,43,1.00%,FRESENIUS MEDICAL CARE
DCI HIGHLAND PARK,12637,MONTGOMERY,47,1.00%,"DIALYSIS CLINIC, INC."
FMC HOOVER,12638,HOOVER,85,0.00%,FRESENIUS MEDICAL CARE
FMC MONTEVALLO,12639,MONTEVALLO,52,0.50%,FRESENIUS MEDICAL CARE
PICKENS COUNTY DIALYSIS,12640,CARROLLTON,65,0.00%,DAVITA
DCI EVERGREEN,12641,EVERGREEN,74,0.00%,"DIALYSIS CLINIC, INC."
DAVITA ENTERPRISE,12642,ENTERPRISE,64,0.00%,DAVITA
ENDEAVOR DIALYSIS,12643,HUNTSVILLE,80,0.00%,FRESENIUS MEDICAL CARE
JEWEL DIALYSIS,12644,BESSEMER,39,1.00%,DAVITA
MAGIC CITY DIALYSIS,12645,BIRMINGHAM,67,0.00%,DAVITA
STEEL CITY DIALYSIS,12646,BIRMINGHAM,91,0.00%,DAVITA
CROWN DIALYSIS,12647,BIRMINGHAM,62,0.00%,DAVITA
"FRESENIUS KIDNEY CARE GADSDEN ACQ, LLC",12648,GADSDEN,49,0.50%,FRESENIUS MEDICAL CARE
"FRESENIUS KIDNEY CARE UNION SPRINGS, LLC",12649,UNION SPRINGS,48,1.00%,FRESENIUS MEDICAL CARE
RENAL TREATMENT CENTERS SOUTHEAST LP,12650,ATHENS,70,0.00%,DAVITA
FMC FORESTDALE,12651,BIRMINGHAM,44,1.00%,FRESENIUS MEDICAL CARE
LEEDS DIALYSIS,12652,LEEDS,89,0.00%,DAVITA
"FRESENIUS KIDNEY CARE PHENIX CITY, LLC",12653,PHENIX CITY,58,0.50%,NOT A CHAIN
BIO-MEDICAL APPLICATIONS OF ALABAMA,12654,MONTGOMERY,51,0.50%,FRESENIUS MEDICAL CARE
RENAL TREATMENT CENTERS SOUTHEAST LP,12655,ANDALUSIA,88,0.00%,"RTC-SOUTHEAST, LP"
DCI MITYLENE PARK,12656,MONTGOMERY,67,0.00%,"DIALYSIS CLINIC, INC."
"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC",12657,BIRMINGHAM,45,1.00%,FRESENIUS MEDICAL CARE
RENAL TREATMENT CENTERS SOUTHEAST LP,12658,SPRINGVILLE,57,0.50%,DAVITA
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12659,BIRMINGHAM,61,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS KIDNEY CARE ATTALLA, LLC",12660,ATTALLA,67,0.00%,FRESENIUS MEDICAL CARE
"RTC-SOUTHEAST, LP",12661,GADSDEN,67,0.00%,DAVITA
FRESENIUS MEDICAL CARE,12662,MONTGOMERY,71,0.00%,FRESENIUS MEDICAL CARE
RENAL TREATMENT CENTERS SOUTHEAST LP,12663,MARION,67,0.00%,DAVITA
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12664,GRAND BAY,61,0.00%,FRESENIUS MEDICAL CARE
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12665,BREWTON,66,0.00%,DAVITA
"RTC-SOUTHEAST, LP",12666,ANNISTON,80,0.00%,DAVITA
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.",12667,FAIRHOPE,85,0.00%,FRESENIUS MEDICAL CARE
"BAGBY DIALYSIS, LLC",12668,ABBEVILLE,69,0.00%,DAVITA
"FARRAGUT DIALYSIS, INC",12669,MONTGOMERY,31,1.50%,DAVITA
DVA RENAL HEALTHCARE INC,12670,BIRMINGHAM,54,0.50%,DAVITA
"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC",12671,HUNTSVILLE,65,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE WEST MADISON, LLC",12672,MADISON,52,0.50%,FRESENIUS MEDICAL CARE
CURECANTI DIALYSIS LLC,12673,DOTHAN,39,1.00%,DAVITA
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC",12674,BRUNDIDGE,79,0.00%,FRESENIUS MEDICAL CARE
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12676,BIRMINGHAM,59,0.00%,DAVITA
"DIALYSIS CLINIC, INC",12677,GENEVA,92,0.00%,"DIALYSIS CLINIC, INC."
"FRESENIUS MEDICAL CARE MCCALLA, LLC",12678,BESSEMER,54,0.50%,FRESENIUS MEDICAL CARE
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12679,DEMOPOLIS,73,0.00%,DAVITA
BIO-MEDICAL APPLICATIONS OF ALABAMA,12680,TALLASSEE,74,0.00%,FRESENIUS MEDICAL CARE
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",12681,MERIDIANVILLE,62,0.00%,FRESENIUS MEDICAL CARE
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12682,ANNISTON,57,0.50%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC",12684,ALBERTVILLE,64,0.00%,FRESENIUS MEDICAL CARE
"SPREWELL DIALYSIS, LLC",12685,ANNISTON,94,0.00%,DAVITA
"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC",12686,ANNISTON,67,0.00%,FRESENIUS MEDICAL CARE
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",12687,BIRMINGHAM,69,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC",12688,BIRMINGHAM,44,1.00%,FRESENIUS MEDICAL CARE
BIO MEDICAL APPLICATIONS OF ALABAMA INC,12690,DOTHAN,83,0.00%,FRESENIUS MEDICAL CARE
BIO MEDICAL APPLICATIONS OF ALABAMA INC,12692,DECATUR,61,0.00%,FRESENIUS MEDICAL CARE
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12693,TRUSSVILLE,63,0.00%,DAVITA
RENAL TREATMENT CENTERS SOUTHEAST LP,12694,CULLMAN,95,0.00%,DAVITA
BIO MEDICAL APPLICATIONS OF ALABAMA,12695,HUNTSVILLE,61,0.00%,FRESENIUS MEDICAL CARE
BIO-MEDICAL APPLICATIONS OF ALABAMA,12696,SARALAND,75,0.00%,FRESENIUS MEDICAL CARE
RENAL TREATMENT CENTERS SOUTHEAST LP,12697,EUFAULA,75,0.00%,DAVITA
PHYSICIANS CHOICE DIALYSIS OF LUVERNE,12698,LUVERNE,12,2.00%,OTHER
"DIALYSIS SERVICES OF DECATUR, LLC",12699,DECATUR,75,0.00%,"DIALYSIS CLINIC, INC."
"CHEROKEE COMMUNITY DIALYSIS, LLC",12702,CENTRE,60,0.00%,NOT A CHAIN
FMC ANCHORAGE,22500,ANCHORAGE,66,0.00%,RENAL CARE GROUP INC.
FMC FAIRBANKS,22502,FAIRBANKS,77,0.00%,FRESENIUS MEDICAL CARE
FMC WASILLA,22503,WASILLA,83,0.00%,RENAL CARE GROUP INC.
REIFENSTEIN DIALYSIS CENTER,22504,JUNEAU,87,0.00%,RENAL CARE GROUP INC.
LIBERTY DIALYSIS - ALASKA LLC,22506,ANCHORAGE,78,0.00%,NOT A CHAIN
FMC COOK INLET,22507,ANCHORAGE,81,0.00%,FRESENIUS MEDICAL CARE
FMC SOLDOTNA,22508,SOLDOTNA,84,0.00%,FRESENIUS MEDICAL CARE
DENALI DIALYSIS CENTER,22509,ANCHORAGE,78,0.00%,OTHER
TUDOR DIALYSIS,22510,ANCHORAGE,61,0.00%,FRESENIUS MEDICAL CARE
032302 MARICOPA MEDICAL CTR - DIALYSIS,32302,PHOENIX,78,0.00%,NOT A CHAIN
032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,32314,PHOENIX,62,0.00%,NOT A CHAIN
032315 GILA RIVER DIALYSIS EAST,32315,SACATON,76,0.00%,NOT A CHAIN
032316 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATI,32316,TUCSON,0,2.00%,NOT A CHAIN
032500 TUCSON WEST DIALYSIS (DVA),32500,TUCSON,62,0.00%,DAVITA
032501 TUCSON EAST DIALYSIS (DVA),32501,TUCSON,54,0.50%,DAVITA
032502 YUMA DIALYSIS (DVA),32502,YUMA,71,0.00%,DAVITA
032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),32503,PEORIA,73,0.00%,FRESENIUS MEDICAL CARE
032506 TUBA CITY DIALYSIS UNIT (DVA),32506,TUBA CITY,55,0.50%,DAVITA
032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),32508,PHOENIX,59,0.00%,FRESENIUS MEDICAL CARE
032509 EAST VALLEY DIALYSIS (FMC),32509,MESA,54,0.50%,FRESENIUS MEDICAL CARE
032513 SELLS DIALYSIS (DVA),32513,SELLS,67,0.00%,DAVITA
032514 DESERT DIALYSIS CENTER (DCI),32514,TUCSON,56,0.50%,"DIALYSIS CLINIC, INC."
032516 CHANDLER DIALYSIS (FMC),32516,CHANDLER,51,0.50%,RENAL CARE GROUP INC.
032517 CENTRAL PHX DIALYSIS (FMC),32517,PHOENIX,48,1.00%,FRESENIUS MEDICAL CARE
032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA),32518,CHINLE,56,0.50%,DAVITA
032520 SIERRA VISTA DIALYSIS (DVA),32520,SIERRA VISTA,42,1.00%,DAVITA
032521 DIALYSIS CENTER OF GLENDALE (FMC),32521,GLENDALE,52,0.50%,FRESENIUS MEDICAL CARE
032522 PARKER DIALYSIS CENTER (FMC),32522,PARKER,69,0.00%,FRESENIUS MEDICAL CARE
032523 PRESCOTT DIALYSIS (DVA),32523,PRESCOTT,62,0.00%,DAVITA
032524 FLAGSTAFF DIALYSIS CENTER (FMC),32524,FLAGSTAFF,68,0.00%,FRESENIUS MEDICAL CARE
032525 DESERT MOUNTAIN DIALYSIS (DVA),32525,SCOTTSDALE,65,0.00%,DAVITA
032526 SOUTHWEST MESA DIALYSIS (DSI),32526,MESA,72,0.00%,NATIONAL RENAL INSTITUTES
032528 THUNDERBIRD DIALYSIS (FMC),32528,GLENDALE,75,0.00%,RENAL CARE GROUP INC.
032530 DESERT VALLEY DIALYSIS (FMC),32530,PHOENIX,59,0.00%,FRESENIUS MEDICAL CARE
032533 GLOBE DIALYSIS (FMC),32533,MIAMI,81,0.00%,FRESENIUS MEDICAL CARE
032535 HOME DIALYSIS OF MESA (FMC),32535,MESA,44,1.00%,FRESENIUS MEDICAL CARE
032536 WINSLOW DIALYSIS CENTER (FMC),32536,WINSLOW,56,0.50%,FRESENIUS MEDICAL CARE
032537 ESTRELLA DIALYSIS CENTER (FMC),32537,PHOENIX,53,0.50%,FRESENIUS MEDICAL CARE
032539 MESA DIALYSIS CENTER (FMC),32539,GILBERT,77,0.00%,FRESENIUS MEDICAL CARE
032540 FRESENIUS KIDNEY CARE WESTERN SKIES,32540,CASA GRANDE,34,1.50%,FRESENIUS MEDICAL CARE
032541 TEMPE DIALYSIS (FMC),32541,TEMPE,55,0.50%,FRESENIUS MEDICAL CARE
032542 ARCADIA DIALYSIS CENTER (FMC),32542,PHOENIX,63,0.00%,FRESENIUS MEDICAL CARE
032543 NOGALES DIALYSIS (DVA),32543,NOGALES,73,0.00%,DAVITA
032544 LAKE HAVASU DIALYSIS (FMC),32544,LAKE HAVASU CITY,82,0.00%,RENAL CARE GROUP INC.
032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),32545,PHOENIX,46,1.00%,FRESENIUS MEDICAL CARE
032546 SUN CITY WEST DIALYSIS (FMC),32546,SURPRISE,57,0.50%,FRESENIUS MEDICAL CARE
032547 SUN CITY DIALYSIS (FMC),32547,SUN CITY,72,0.00%,FRESENIUS MEDICAL CARE
032549 SAFFORD DIALYSIS (FMC),32549,SAFFORD,62,0.00%,RENAL CARE GROUP INC.
032550 NORTH PHOENIX DIALYSIS (FMC),32550,PHOENIX,49,0.50%,FRESENIUS MEDICAL CARE
032551 MESA DIALYSIS (DSI),32551,MESA,61,0.00%,NOT A CHAIN
032552 ARROWHEAD DIALYSIS (FMC),32552,GLENDALE,63,0.00%,FRESENIUS MEDICAL CARE
032553 PAPAGO DIALYSIS (DVA),32553,PHOENIX,62,0.00%,DAVITA
032556 SOUTH YUMA DIALYSIS (DVA),32556,YUMA,69,0.00%,DAVITA
032557 TUCSON SOUTH DIALYSIS (DVA),32557,TUCSON,73,0.00%,DAVITA
032558 BULLHEAD CITY DIALYSIS (FMC),32558,BULLHEAD CITY,52,0.50%,FRESENIUS MEDICAL CARE
032559 FOUR CORNERS DIAL CLINIC KAYENTA (DVA),32559,KAYENTA,61,0.00%,DAVITA
032561 CASA GRANDE DIALYSIS (FMC),32561,CASA GRANDE,64,0.00%,RENAL CARE GROUP INC.
032562 COTTONWOOD DIALYSIS (DVA),32562,COTTONWOOD,67,0.00%,DAVITA
032563 SCOTTSDALE DIALYSIS (FMC),32563,SCOTTSDALE,71,0.00%,FRESENIUS MEDICAL CARE
032564 MARYVALE DIALYSIS (FMC),32564,PHOENIX,47,1.00%,FRESENIUS MEDICAL CARE
032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI),32565,TUCSON,67,0.00%,"DIALYSIS CLINIC, INC."
032568 RED MOUNTAIN DIALYSIS (FMC),32568,MESA,53,0.50%,FRESENIUS MEDICAL CARE
032571 NORTH SCOTTSDALE DIALYSIS (FMC),32571,SCOTTSDALE,44,1.00%,FRESENIUS MEDICAL CARE
032572 DESERT DIALYSIS SRVS INC-SUN CITY (DVA),32572,SUN CITY,58,0.50%,DAVITA
032573 PASCUA YAQUI DIALYSIS (DVA),32573,TUCSON,79,0.00%,DAVITA
032575 SHOW LOW DIALYSIS (FMC),32575,SHOW LOW,74,0.00%,FRESENIUS MEDICAL CARE
032577 YAVAPAI DIALYSIS (FMC),32577,PRESCOTT,46,1.00%,FRESENIUS MEDICAL CARE
032578 APACHE JUNCTION DIALYSIS (FMC),32578,APACHE JUNCTION,65,0.00%,FRESENIUS MEDICAL CARE
032579 SUN LAKES DIALYSIS (FMC),32579,SUN LAKES,78,0.00%,FRESENIUS MEDICAL CARE
032580 PALM VALLEY DIALYSIS (FMC),32580,GOODYEAR,56,0.50%,FRESENIUS MEDICAL CARE
032581 AK-CHIN DIALYSIS (FMC),32581,MARICOPA,75,0.00%,RENAL CARE GROUP INC.
032583 SOUTH PHOENIX DIALYSIS (DSI),32583,PHOENIX,43,1.00%,NOT A CHAIN
032587 DEER VALLEY DIALYSIS (FMC),32587,PHOENIX,75,0.00%,FRESENIUS MEDICAL CARE
032589 TUCSON SOUTH CENTRAL DIALYSIS (DVA),32589,TUCSON,80,0.00%,DAVITA
032592 HOPI DIALYSIS CENTER (DVA),32592,POLACCA,69,0.00%,DAVITA
032593 GRANITE VALLEY DIALYSIS (FMC),32593,SUN CITY WEST,61,0.00%,FRESENIUS MEDICAL CARE
032594 SALT RIVER DIALYSIS CENTER (FMC),32594,SCOTTSDALE,73,0.00%,FRESENIUS MEDICAL CARE
032596 NORTHEAST PHOENIX DIALYSIS (DSI),32596,PHOENIX,60,0.00%,NOT A CHAIN
032597 SAN CARLOS DIALYSIS (FMC),32597,PERIDOT,75,0.00%,FRESENIUS MEDICAL CARE
032598 MAMMOTH DIALYSIS (FMC),32598,MAMMOTH,69,0.00%,FRESENIUS MEDICAL CARE
032599 AHWATUKEE DIALYSIS (FMC),32599,PHOENIX,50,0.50%,RENAL CARE GROUP INC.
032601 PALM BROOK DIALYSIS CENTER (DVA),32601,SUN CITY,68,0.00%,DAVITA
032604 SOUTHWEST KIDNEY DIALYSIS - ARROWHEAD LAKES (DVA),32604,GLENDALE,46,1.00%,DAVITA
032605 SOUTHWEST KIDNEY DIALYSIS - GILBERT (DVA),32605,GILBERT,66,0.00%,DAVITA
032607 AVONDALE DIALYSIS (FMC),32607,AVONDALE,76,0.00%,FRESENIUS MEDICAL CARE
032608 AVONDALE DIALYSIS (DSI),32608,AVONDALE,78,0.00%,NOT A CHAIN
032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA),32609,TEMPE,63,0.00%,DAVITA
032610 SOUTHEAST VALLEY DIALYSIS (FMC),32610,QUEEN CREEK,59,0.00%,FRESENIUS MEDICAL CARE
032611 SOUTHWEST KIDNEY DIALYSIS - PHOENIX (DVA),32611,PHOENIX,71,0.00%,DAVITA
032612 SOUTHWEST KIDNEY DIALYSIS - ESTRELLA (DVA),32612,PHOENIX,62,0.00%,DAVITA
032613 NORTHWEST TUCSON DIALYSIS (FMC),32613,TUCSON,61,0.00%,FRESENIUS MEDICAL CARE
032614 DOUGLAS DIALYSIS CENTER (DCI),32614,DOUGLAS,62,0.00%,"DIALYSIS CLINIC, INC."
032615 RIM COUNTRY DIALYSIS (DVA),32615,PAYSON,67,0.00%,DAVITA
032616 DESERT DIALYSIS SAHUARITA (DCI),32616,SAHUARITA,52,0.50%,"DIALYSIS CLINIC, INC."
032617 TUCSON WEST DIALYSIS CENTER (FMC),32617,TUCSON,49,0.50%,FRESENIUS MEDICAL CARE
