Provider Number,Facility Name,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Percent of Adult HD patients with Kt/V >= 1.2,Number of adult HD patients with KT/V data,Mortality Rate (Facility),Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Number of patients included in hospitalization summary,No. of hospitalization with hospital readmission summary,Number of Patients included in survival summary,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,PPPW category text,Patient Transfusion category text,Fistula Category Text,Patient Infection category text,Patient Hospital Readmission Category,Patient Survival Category Text,Patient hospitalization category text
12513,FMC LANGDALE,CHAMBERS,Profit,FRESENIUS MEDICAL CARE,19,94,77,18.1,61,78,779,83,791,66,52,249,83,83,804,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
12515,FMC OPELIKA,LEE,Profit,FRESENIUS MEDICAL CARE,31,96,112,19.7,110,148,1375,155,1424,116,79,466,128,128,1188,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
12558,DCI DECATUR,MORGAN,Non-Profit,"DIALYSIS CLINIC, INC.",24,97,65,26.8,47,70,694,71,695,60,68,471,70,70,685,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12559,FMC UNIVERSITY SOUTH ALABAMA,MOBILE,Profit,FRESENIUS MEDICAL CARE,22,95,79,22.7,63,105,957,112,976,75,89,313,92,92,830,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12561,FKC ARAB,MARSHALL,Profit,FRESENIUS MEDICAL CARE,24,100,57,23.6,39,59,501,70,547,42,35,225,70,70,548,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12562,DCI PELL CITY,SAINT CLAIR,Non-Profit,"DIALYSIS CLINIC, INC.",15,98,31,29.4,21,31,305,34,327,22,15,105,35,35,328,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12563,DCI CULLMAN,CULLMAN,Non-Profit,"DIALYSIS CLINIC, INC.",16,99,68,24.9,65,72,547,85,603,76,83,317,83,83,601,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12565,DAVITA SOUTH BALDWIN DIALYSIS CENTER,BALDWIN,Profit,DAVITA,13,100,27,30.2,21,28,264,30,268,23,45,84,31,31,285,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12574,FMC CHAMBERS,CHAMBERS,Profit,FRESENIUS MEDICAL CARE,10,99,38,11.5,27,38,368,42,389,32,25,129,42,42,392,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,Better than Expected,As Expected
12575,RCG WALKER,WALKER,Profit,FRESENIUS MEDICAL CARE,22,98,56,32.2,41,58,515,65,535,46,58,216,65,65,540,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12576,DCI MONTGOMERY,MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",24,97,67,22.2,51,80,735,82,736,61,60,307,74,74,670,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12578,RCG SOUTHSIDE,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,16,93,58,28.7,48,59,542,59,524,53,58,202,62,62,552,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12633,FMC PRATTVILLE,AUTAUGA,Profit,FRESENIUS MEDICAL CARE,18,98,77,28.2,50,83,734,95,788,65,65,242,95,95,795,0,0,As Expected,Worse than Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12634,FMC FOLEY,BALDWIN,Profit,FRESENIUS MEDICAL CARE,16,99,60,19.9,49,68,584,74,621,55,70,201,73,73,621,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12636,FMC JAGUAR,MOBILE,Profit,FRESENIUS MEDICAL CARE,26,93,114,20.4,78,114,1124,122,1147,87,118,371,122,122,1161,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12637,DCI HIGHLAND PARK,MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",15,90,76,18.9,58,79,725,79,726,61,86,277,81,81,744,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12638,FMC HOOVER,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,12,99,64,21.6,47,65,593,66,605,55,60,173,66,66,602,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
12639,FMC MONTEVALLO,SHELBY,Profit,FRESENIUS MEDICAL CARE,10,98,40,24.6,25,41,367,46,393,26,25,109,46,46,395,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12640,DAVITA PICKENS COUNTY DIALYSIS,PICKENS,Profit,DAVITA,14,98,71,26.1,59,71,669,74,708,61,60,207,74,74,693,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12597,FMC BAY MINETTE,BALDWIN,Profit,FRESENIUS MEDICAL CARE,18,99,50,23.3,39,54,494,56,510,44,42,189,57,57,514,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12598,DCI PHENIX CITY,RUSSELL,Profit,"DIALYSIS CLINIC, INC.",12,99,50,19.0,36,50,522,52,532,44,45,186,54,54,530,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12599,FMC PORT CITY,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,93,89,33.1,57,90,779,100,814,68,112,297,101,101,827,0,0,As Expected,As Expected,As Expected,Better than Expected,Worse than Expected,Worse than Expected,As Expected
12600,DAVITA ATMORE DIALYSIS CENTER,ESCAMBIA,Profit,DAVITA,10,99,47,32.7,34,48,444,52,474,40,37,171,53,53,469,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12601,FMC WEST,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,24,95,87,26.5,61,93,898,97,908,66,89,285,97,97,919,0,0,As Expected,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,As Expected
12602,DAVITA RUSSELLVILLE DIALYSIS,FRANKLIN,Profit,DAVITA,10,98,53,34.5,45,53,455,57,501,48,45,159,58,58,505,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12603,FMC FAIRFIELD (STEEL CITY),JEFFERSON,Profit,RENAL CARE GROUP INC.,12,96,51,32.7,36,55,521,54,522,42,43,160,57,57,533,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12604,RCG CLANTON,CHILTON,Profit,FRESENIUS MEDICAL CARE,12,97,56,29.2,40,60,552,62,571,45,65,185,62,62,565,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12544,DAVITA OZARK DIALYSIS,DALE,Profit,DAVITA,19,97,57,25.9,43,57,448,61,466,49,36,214,63,63,472,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12545,DAVITA TUSCALOOSA DIALYSIS,TUSCALOOSA,Profit,DAVITA,19,97,93,27.2,78,95,934,98,948,83,109,362,101,101,949,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12546,FMC TUSKEGEE,MACON,Profit,FRESENIUS MEDICAL CARE,28,95,65,28.4,38,67,645,70,645,45,22,232,69,69,643,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12547,FMC EASTERN SHORE,BALDWIN,Profit,FRESENIUS MEDICAL CARE,24,99,89,19.7,51,91,790,96,830,61,78,273,95,95,828,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12548,DAVITA FAYETTE DIALYSIS,FAYETTE,Profit,DAVITA,10,99,33,26.9,30,36,343,38,346,36,38,151,38,38,351,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12550,DAVITA GREENE COUNTY DIALYSIS,GREENE,Profit,DAVITA,12,99,47,22.9,38,48,483,49,486,41,53,200,49,49,485,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12551,DAVITA SHEFFIELD DIALYSIS,COLBERT,Profit,DAVITA,12,94,57,25.1,50,59,549,64,565,52,69,228,65,65,580,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12552,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,MOBILE,Profit,FRESENIUS MEDICAL CARE,25,99,109,20.2,79,117,1146,122,1149,91,114,317,124,124,1172,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12553,DAVITA PDI-ELMORE COUNTY,ELMORE,Profit,DAVITA,10,99,47,22.4,32,48,425,52,459,38,34,133,52,52,460,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12556,"NNA OF ALABAMA, INC",SAINT CLAIR,Profit,FRESENIUS MEDICAL CARE,13,96,49,19.5,33,49,413,55,436,38,32,157,55,55,439,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12622,DAVITA TALLADEGA DIALYSIS,TALLADEGA,Profit,DAVITA,13,99,42,20.3,39,47,442,49,454,42,38,158,44,44,399,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12623,DAVITA CENTER POINT DIALYSIS,JEFFERSON,Profit,DAVITA,16,97,58,38.0,43,60,530,65,547,45,59,189,65,65,556,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
12624,FMC MIDFIELD DIALYSIS,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,24,97,94,22.4,70,99,995,100,1005,79,113,308,100,100,1020,0,0,As Expected,Worse than Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
12625,RAI JACKSONVILLE,CALHOUN,Profit,FRESENIUS MEDICAL CARE,16,99,67,18.7,57,67,600,71,608,66,54,258,71,71,623,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12626,FMC NORTHWEST ALABAMA KIDNEY CENTER,MARION,Profit,FRESENIUS MEDICAL CARE,10,96,31,18.5,27,32,279,35,290,29,35,111,35,35,293,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12627,DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD,BALDWIN,Profit,DAVITA,4,0,1,0,7,9,74,9,74,8,6,39,3,3,26,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,As Expected
12628,DAVITA OPELIKA DIALYSIS CENTER,LEE,Profit,DAVITA,10,99,23,26.0,23,30,274,29,266,23,22,111,24,24,216,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12629,DAVITA RENAISSANCE DIALYSIS,LAUDERDALE,Profit,DAVITA,10,99,48,17.2,43,52,469,58,496,46,58,137,57,57,481,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12630,DAVITA WIREGRASS KIDNEY CENTER,HOUSTON,Profit,DAVITA,20,98,76,27.4,55,76,667,80,675,62,87,268,80,80,706,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12631,DAVITA GULF SHORES DIALYSIS CENTER,BALDWIN,Profit,DAVITA,8,97,19,17.1,22,32,260,30,257,24,22,107,21,21,161,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12632,DAVITA MUSCLE SHOALS DIALYSIS,COLBERT,Profit,DAVITA,10,99,22,20.2,17,23,172,24,200,19,24,63,24,24,202,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
12659,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",JEFFERSON,Profit,FRESENIUS MEDICAL CARE,13,96,54,26.9,36,56,552,61,559,42,55,194,61,61,567,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12660,"FRESENIUS KIDNEY CARE ATTALLA, LLC",ETOWAH,Profit,FRESENIUS MEDICAL CARE,10,99,35,18.4,34,41,406,49,435,38,43,176,48,48,430,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12661,DAVITA HOKES BLUFF DIALYSIS,ETOWAH,Profit,DAVITA,10,98,25,27.3,23,25,203,29,222,24,34,100,30,30,223,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12662,FRESENIUS MEDICAL CARE,MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,8,0,1,21.4,34,53,370,53,402,39,28,108,10,10,50,0,0,As Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
12663,DAVITA PERRY COUNTY DIALYSIS,PERRY,Profit,DAVITA,10,99,37,30.5,27,37,330,38,344,32,31,136,38,38,342,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12664,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",MOBILE,Profit,FRESENIUS MEDICAL CARE,27,96,79,20.6,51,79,711,83,736,60,50,233,81,81,745,1,2,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12677,"DIALYSIS CLINIC, INC",GENEVA,Non-Profit,"DIALYSIS CLINIC, INC.",10,100,24,29.0,16,25,209,26,228,18,8,76,25,25,227,0,0,As Expected,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected
12678,"FRESENIUS MEDICAL CARE MCCALLA, LLC",JEFFERSON,Non-Profit,FRESENIUS MEDICAL CARE,13,92,53,25.6,36,55,474,58,482,43,49,141,58,58,496,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
12679,DAVITA WHITE BLUFF DIALYSIS,MARENGO,Profit,DAVITA,10,99,46,25.5,36,48,471,52,483,42,22,144,52,52,495,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
